"Opportunity ID";"Stage Before Lost";"Created Date";"Interest";"Campus extended";"Country Aggregate";"Stage";"Last Click Channel";"Drop";"Person Account: Gender";"Close Date"
"0065J00000DOT97";"Technical Interview";"12/04/2023";"UXPT";"RMTEU - Spain";"Spain";"Closed lost";"Social";"0";"Female";"18/04/2023"
"0065J00000CbViK";"";"26/10/2022";"WDPT";"MAD - Spain";"Spain";"Paid Deposit";"";"0";"Male";"22/12/2022"
"0065J00000Ax65o";"Technical Interview";"12/04/2022";"WDPT";"MAD - Spain";"Spain";"Closed lost";"Paid Search";"0";"Male";"18/05/2022"
"0065J00000BRJ9c";"Technical Interview";"27/05/2022";"DAPT";"MAD - Spain";"Spain";"Closed lost";"";"0";"Female";"13/07/2022"
"0065J00000Ccz5k";"Technical Interview";"19/01/2023";"DAFT";"BCN - Spain";"Nigeria";"Closed lost";"Email";"0";"Male";"14/03/2023"
"0065J00000DOcYq";"Student Agreement";"21/04/2023";"UXFT";"MAD - Spain";"Spain";"Closed lost";"Paid Search";"0";"Male";"23/05/2023"
"0065J00000E3uWB";"Technical Interview";"10/03/2023";"DAPT";"BCN - Spain";"Spain";"Closed lost";"Organic Search";"0";"Female";"30/03/2023"
"0065J00000E3rbc";"Personal Interview";"7/03/2023";"WDFT";"RMTEU - Spain";"Spain";"Closed lost";"Social";"0";"Female";"13/03/2023"
"0065J00000CcHRn";"Technical Interview";"5/12/2022";"WDFT";"RMTEU - Spain";"Spain";"Closed lost";"Organic Search";"0";"Female";"23/01/2023"
"0065J00000E3ySD";"Technical Interview";"15/03/2023";"DAFT";"RMTEU - Spain";"Spain";"Closed lost";"Organic Search";"0";"Female";"30/03/2023"
"0065J000009FOJz";"Personal Interview";"3/03/2022";"DAPT";"MAD - Spain";"Spain";"Closed lost";"Organic Search";"0";"";"15/03/2022"
"0065J00000DOy8p";"Student Agreement";"22/05/2023";"WDFT";"RMTEU - Spain";"Spain";"Closed lost";"";"0";"Male";"7/06/2023"
"0065J00000DPK7y";"Technical Interview";"24/05/2023";"UXFT";"MAD - Spain";"Spain";"Closed lost";"Paid Search";"0";"";"28/06/2023"
"0065J00000CdJrI";"Student Agreement";"8/02/2023";"WDPT";"RMTEU - Spain";"Spain";"Closed lost";"";"0";"";"23/03/2023"
"0065J00000Blm36";"";"27/07/2022";"WDFT";"MAD - Spain";"Spain";"Paid Deposit";"";"0";"Female";"16/08/2022"
"0065J00000DOrRf";"";"11/05/2023";"DAFT";"MAD - Spain";"Spain";"Paid Deposit";"Paid Search";"0";"Male";"17/05/2023"
"0065J00000BmDl5";"Technical Interview";"1/09/2022";"WDPT";"MAD - Spain";"Spain";"Closed lost";"";"0";"Male";"6/09/2022"
"0065J00000Awd76";"Technical Interview";"18/03/2022";"WDFT";"MAD - Spain";"Spain";"Closed lost";"Paid Search";"0";"Male";"5/04/2022"
"0065J000009FMza";"Student Agreement";"2/03/2022";"UXFT";"MAD - Spain";"Costa Rica";"Closed lost";"Organic Search";"0";"Female";"20/04/2022"
"0065J000009FJJh";"Personal Interview";"28/02/2022";"WDFT";"MAD - Spain";"Spain";"Closed lost";"Direct";"0";"Male";"7/03/2022"
"0065J00000CbWes";"Technical Interview";"27/10/2022";"WDFT";"MAD - Spain";"Spain";"Closed lost";"Organic Search";"0";"Male";"3/11/2022"
"0065J00000Bm1lo";"Student Agreement";"16/08/2022";"WDFT";"BCN - Spain";"Italy";"Closed lost";"";"0";"Male";"5/09/2022"
"0065J00000CdKHL";"";"8/02/2023";"UXPT";"BCN - Spain";"Brazil";"Paid Deposit";"Organic Search";"0";"Female";"13/02/2023"
"0065J00000BRBJN";"Technical Interview";"20/05/2022";"UXPT";"RMTEU - Spain";"Spain";"Closed lost";"";"0";"";"19/06/2022"
"0065J00000BRdgK";"Personal Interview";"15/06/2022";"WDPT";"MAD - Spain";"Spain";"Closed lost";"Paid Search";"0";"Female";"17/06/2022"
"0065J00000Awy5A";"";"5/04/2022";"WDFT";"BCN - Spain";"Spain";"Paid Deposit";"Email";"0";"Male";"2/05/2022"
"0065J00000Blvq8";"Personal Interview";"8/08/2022";"DAPT";"BCN - Spain";"Spain";"Closed lost";"Paid Search";"0";"Male";"19/09/2022"
"0065J00000BROXz";"Personal Interview";"1/06/2022";"WDPT";"RMTEU - Spain";"Spain";"Closed lost";"Paid Search";"0";"Male";"3/08/2022"
"0065J00000Cbxhk";"";"15/11/2022";"WDFT";"MAD - Spain";"Spain";"Paid Deposit";"Organic Search";"0";"Male";"24/11/2022"
"0065J00000Bm3Ne";"";"18/08/2022";"DAFT";"MAD - Spain";"Spain";"Paid Deposit";"Organic Search";"0";"Male";"12/09/2022"
"0065J00000BR0Ym";"";"11/05/2022";"DAFT";"BCN - Spain";"United States";"Paid Deposit";"Referral";"0";"Male";"19/05/2022"
"0065J00000BRV0E";"Student Agreement";"8/06/2022";"DAPT";"BCN - Spain";"Spain";"Closed lost";"";"0";"Male";"9/08/2022"
"0065J00000E3pzc";"";"6/03/2023";"DAPT";"MAD - Spain";"Spain";"Paid Deposit";"Organic Search";"0";"Male";"21/03/2023"
"0065J00000Cc753";"Student Agreement";"24/11/2022";"DAFT";"BCN - Spain";"Spain";"Closed lost";"Paid Search";"0";"Male";"16/12/2022"
"0065J000009F0QB";"";"15/02/2022";"DAFT";"MAD - Spain";"Spain";"Paid Deposit";"";"0";"Male";"2/03/2022"
"0065J00000E45hW";"";"22/03/2023";"DAPT";"BCN - Spain";"Spain";"Paid Deposit";"";"0";"Female";"22/03/2023"
"0065J000009DQ4s";"";"29/11/2021";"UXFT";"BCN - Spain";"Spain";"Paid Deposit";"Referral";"0";"Female";"3/03/2022"
"0065J00000BQm8r";"Technical Interview";"29/04/2022";"DAFT";"MAD - Spain";"Spain";"Closed lost";"Direct";"0";"Male";"19/07/2022"
"0065J00000CA8E3";"Technical Interview";"5/07/2022";"DAPT";"MAD - Spain";"Spain";"Closed lost";"Direct";"0";"Male";"11/08/2022"
"0065J000009ExvH";"Personal Interview";"14/02/2022";"DAFT";"RMTEU - Spain";"Spain";"Closed lost";"Other";"0";"";"22/02/2022"
"0065J00000BR2Rn";"";"12/05/2022";"WDPT";"RMTEU - Spain";"Spain";"Paid Deposit";"Direct";"1";"Female";"16/06/2022"
"0065J00000BRKwL";"Student Agreement";"30/05/2022";"WDFT";"RMTEU - Spain";"Spain";"Closed lost";"";"0";"Male";"10/06/2022"
"0065J00000E3tv5";"Personal Interview";"9/03/2023";"WDPT";"MAD - Spain";"Spain";"Closed lost";"Other";"0";"Female";"9/03/2023"
"0065J00000Awgeg";"Student Agreement";"21/03/2022";"WDFT";"MAD - Spain";"Spain";"Closed lost";"Organic Search";"0";"Male";"14/04/2022"
"0065J00000CA7PA";"Personal Interview";"4/07/2022";"WDFT";"MAD - Spain";"Spain";"Closed lost";"Email";"0";"";"5/07/2022"
"0065J000009EgzM";"";"2/02/2022";"DAFT";"RMTEU - Spain";"Spain";"Paid Deposit";"Email";"0";"";"1/03/2022"
"0065J00000AwnvK";"Personal Interview";"27/03/2022";"DAPT";"RMTEU - Spain";"Spain";"Closed lost";"Organic Search";"0";"";"20/04/2022"
"0065J000009EC8B";"Student Agreement";"12/01/2022";"WDFT";"RMTEU - Spain";"Spain";"Closed lost";"Organic Search";"0";"Female";"31/01/2022"
"0065J00000DOROT";"";"10/04/2023";"DAPT";"BCN - Spain";"Spain";"Paid Deposit";"";"0";"Male";"11/04/2023"
"0065J00000BRMGq";"Personal Interview";"31/05/2022";"WDFT";"BCN - Spain";"United States";"Closed lost";"Paid Search";"0";"";"26/07/2022"
"0065J00000E47wE";"Personal Interview";"24/03/2023";"WDFT";"MAD - Spain";"Morocco";"Closed lost";"Email";"0";"Female";"30/03/2023"
"0065J00000CbxYE";"";"15/11/2022";"UXFT";"MAD - Spain";"Spain";"ISA won on account";"";"0";"Female";"8/03/2023"
"0065J00000AxBEC";"";"18/04/2022";"WDPT";"MAD - Spain";"Argentina";"Paid Deposit";"";"0";"Female";"9/05/2022"
"0065J00000BREzJ";"Technical Interview";"24/05/2022";"CYPT";"RMTEU - Spain";"Spain";"Closed lost";"";"0";"Male";"26/07/2022"
"0065J00000E3XiM";"Student Agreement";"15/02/2023";"WDFT";"RMTEU - Spain";"Spain";"Closed lost";"Paid Search";"0";"";"30/03/2023"
"0065J00000E3w4x";"";"13/03/2023";"WDFT";"MAD - Spain";"Spain";"Paid Deposit";"";"0";"Male";"14/03/2023"
